Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
0,287.9665560483179,14.936243789084518,270.454981817421,269.368703253639,283.7419734495436,293.73750895504304,267.5663372305426,313.0096247857668,273.25192718834575,298.63190513463445,275.48368963073665,300.1905962266967,276.8469753072315,263.5934586367351,311.37893785539825,279.4983001860753,286.52200385590083,326.78116745719785,309.4046615105204,285.1375009461322,297.3074587950114,284.20677604052497,288.5319480039286,275.1702958274257,291.68805840779856,290.2168887359429,309.49108762328177,283.7775743987479,281.079965947882,282.43337655022805,293.5637542483804,276.9292434428219
1,22.86476360062346,1.9600904935662598,22.77860710990718,20.606151582098153,21.790449128392858,22.815505987276648,21.794314552616434,25.580268519329913,22.583336020447987,22.54784608103497,20.93894667449849,20.505171630686753,24.286266439912666,22.456072631824117,23.86105458413078,18.864705251836938,23.45539464926913,26.691893441173587,28.083019573053132,21.796239795053488,24.251939907438636,24.011603871465216,20.61297190704775,20.664397113500478,23.777535416645563,21.64597425668451,26.180655035590537,21.796606852094286,22.84303511327577,23.433490913685784,23.11472977336434,22.174724205367554
2,7.0063007215719875,0.7427012278319455,6.909812345632034,6.343851109484879,6.9146646908811125,6.8844229985501,6.660321237945862,7.045737557931736,7.567528885047071,6.67510598494995,6.625855257315276,6.63901566587024,7.233065441518544,6.958405384354315,7.145246167736722,5.275784356386147,6.618591423883403,7.420109106707173,6.764766468530595,6.028370322949275,7.607177768011302,7.259656594251485,5.348284206420818,7.920546135386557,8.386146526124579,7.6577069593319145,8.951575381973583,7.376365761931252,7.313604300528567,6.452961125013669,6.8116669995287396,7.392675482982709
3,3.3704289714860987,0.35265037206006045,3.9296164682923305,3.159860181390151,3.6583968722304565,3.3534603857882477,3.4347432697527553,3.1806737143659625,3.146441126486822,3.1746516746558804,3.307595461782423,3.8445090944162623,3.4986877636269695,3.2928189463231172,3.5511751618550753,2.363335016478333,3.2084196003528,3.2867549204199187,3.1711988013007053,3.0076154214388,3.7159098007023994,3.0737799061588023,2.7658191557077534,3.799586133991594,3.830652197648277,3.511125261521554,4.081786606384716,3.4298283709649016,3.232792068825575,3.385893928247549,3.6239375041470816,3.0918043293257598
4,2.0082539675241247,0.23513795547993152,2.1142893866318047,2.048429760684082,2.433662955378607,1.9824413414883086,1.9883214955408046,2.088975006750295,1.8660615897632562,1.6558055223101333,2.338137205258027,2.0556418706196973,2.108736251372355,1.7810221663467896,1.9921406672517736,1.427865756515155,1.9384966979528169,1.8772173819645959,1.8349565405253578,1.8303892271484778,2.3179707345217415,2.1688981512008603,1.8699136597737,1.9687935693844894,2.3116301894166664,2.353827639574282,1.9632593206744775,2.4384755976754615,1.7663904248845401,2.0687217166341103,1.9890557426924724,1.6680914557885942
5,1.2646432302399049,0.15427743757337178,1.1953321292992785,1.2747272796735882,1.4987056752760992,1.236453015410315,1.0938848546029485,1.2228623558343614,1.334782799799618,1.0945813337603494,1.4930002259887925,1.2752417967426044,1.341999473643232,1.2780309877509979,1.3339103793489056,0.9801902886309806,1.20931501716542,1.1682436811913766,1.092546810358052,1.2513881870655608,1.3263618183250037,1.4829123338180392,1.217397768222612,1.0612885620140053,1.4512256098852916,1.4912249655864982,1.0571919912083207,1.6102701825446046,1.1800142874655182,1.348669965524473,1.2833300017272196,1.054213129333079
6,0.8927610067983579,0.10689359996640656,0.8192075155436888,0.9699438072184527,1.0414462783149203,0.8166944233682849,0.772046227755375,0.8645934358394168,0.916789849476396,0.8222014188346786,1.0176579650822017,0.9646726000544952,0.9011970995501728,0.9234211052516067,0.9197790082061466,0.73695404257688,0.7456564820332849,0.8546092177898733,0.8349825471371173,0.8402067171903624,0.9191450654722768,0.967704926597233,0.8297232567436597,0.7437059889593205,1.0861743335444738,1.0932003569045423,0.7685215962645964,1.1448509683663586,0.8075038767382814,0.9396711825673331,0.9149186582515484,0.8056502523177627
7,0.6400150488935361,0.06846482438671034,0.6115970552869963,0.7152305519633477,0.7740980521043865,0.616062388126015,0.5844091895331993,0.6108694873138018,0.7022885276517301,0.6507824543126264,0.6826348470770245,0.7073017005826333,0.6447876662362593,0.6533671464971723,0.5657544562751027,0.5332001499472357,0.5210998749461618,0.6688226571077744,0.6559015001138288,0.5786064919313259,0.6544183443981604,0.6356248140886136,0.5613131553739876,0.5791926801926757,0.8280704490739115,0.6923755321918151,0.5747195670610812,0.7393738182682239,0.6077330457031835,0.6250900385886904,0.6055851611207252,0.6201406637383947
8,0.4862038800979059,0.049859881245327864,0.4249388178154579,0.5491987223106293,0.5736544866982011,0.48092227467423676,0.47506701676276,0.4672789550432453,0.5133937399466596,0.5397832934875865,0.5067305573787279,0.5671846643756049,0.532342046645337,0.49325198435819534,0.42417593392937597,0.42921674497217915,0.4265192230130541,0.49258875307192024,0.45701828769945974,0.45376317123633025,0.45369307477533866,0.4792502689439773,0.45790146399854387,0.4466884125170607,0.6387581145089457,0.4552729879816551,0.4363636455181758,0.5230878368960221,0.448271420733875,0.4867486115478869,0.48554255001940455,0.46750934207732875
9,0.3757538524550619,0.04429101406304618,0.31748383749081316,0.38503026924292083,0.44009163322039196,0.4037803748253659,0.3643933994858935,0.3609290355810618,0.4172656772825494,0.3954795417091529,0.38424288407891927,0.4562962568271865,0.4209054431172273,0.40657989138211126,0.32781292822805214,0.3258135877649435,0.27226907838926606,0.37075241029130535,0.3751625251523224,0.3678104190023659,0.3731381129093997,0.3671773881576755,0.3778917912486427,0.3466055539849148,0.5044065253188101,0.3699096789442569,0.3320831594590092,0.40268643702619755,0.3365816346136704,0.35008434429201113,0.3591500197684192,0.36080173485700057
